row ID,row m/z,row retention time,220610_C2_1_1_neg_BD8_2_9421.mzXML Peak area,220610_C2_1_3_neg_BE2_1_9490.mzXML Peak area,220610_C2_1_2_neg_BE1_2_9489.mzXML Peak area,220610_C2_1_1_neg_BD8_1_9420.mzXML Peak area,220610_C2_1_3_neg_BE2_2_9491.mzXML Peak area,220610_C2_1_2_neg_BE1_1_9488.mzXML Peak area,220610_C2_1_4_neg_BE3_1_9496.mzXML Peak area,220610_C2_1_4_neg_BE3_1_9497.mzXML Peak area,220610_C2_1_5_neg_BE4_2_9465.mzXML Peak area,220610_C2_1_5_neg_BE4_1_9464.mzXML Peak area,220610_C2_2_1_neg_BE5_2_9503.mzXML Peak area,220610_C2_2_3_neg_BE7_1_9428.mzXML Peak area,220610_C2_2_2_neg_BE6_1_9482.mzXML Peak area,220610_C2_2_3_neg_BE7_2_9429.mzXML Peak area,220610_C2_2_1_neg_BE5_1_9502.mzXML Peak area,220610_C2_2_2_neg_BE6_2_9483.mzXML Peak area,220610_C2_2_5_neg_GA1_2_9509.mzXML Peak area,220610_C2_2_5_neg_GA1_1_9508.mzXML Peak area,220610_C2_3_2_neg_GA3_2_9493.mzXML Peak area,220610_C2_3_1_neg_GA2_1_9504.mzXML Peak area,220610_C2_3_2_neg_GA3_1_9492.mzXML Peak area,220610_C2_2_4_neg_BE8_1_9506.mzXML Peak area,220610_C2_2_4_neg_BE8_2_9507.mzXML Peak area,220610_C2_3_1_neg_GA2_2_9505.mzXML Peak area,220610_C2_3_3_neg_GA4_2_9423.mzXML Peak area,220610_C2_3_3_neg_GA4_1_9422.mzXML Peak area,220610_C2_3_5_neg_GA6_2_9513.mzXML Peak area,220610_C2_3_5_neg_GA6_1_9512.mzXML Peak area,220610_C2_3_4_neg_GA5_1_9510.mzXML Peak area,220610_C2_3_4_neg_GA5_2_9511.mzXML Peak area,220610_C2_4_1_neg_GA7_1_9416.mzXML Peak area,220610_C2_4_1_neg_GA7_2_9417.mzXML Peak area,220610_C2_4_5_neg_GB3_2_9427.mzXML Peak area,220610_C2_4_5_neg_GB3_1_9426.mzXML Peak area,220610_C2_4_2_neg_GA8_2_9455.mzXML Peak area,220610_C2_4_4_neg_GB2_1_9460.mzXML Peak area,220610_C2_4_2_neg_GA8_1_9454.mzXML Peak area,220610_C2_4_3_neg_GB1_1_9514.mzXML Peak area,220610_C2_4_3_neg_GB1_2_9515.mzXML Peak area,220610_C2_4_4_neg_GB2_2_9461.mzXML Peak area,220610_Gifu_1_1_neg_BA8_1_9418.mzXML Peak area,220610_Gifu_1_4plus_neg_BA1_1_9434.mzXML Peak area,220610_Gifu_1_4plus_neg_BA1_2_9435.mzXML Peak area,220610_Gifu_1_3_neg_BB2_2_9425.mzXML Peak area,220610_Gifu_1_2_neg_BB1_1_9430.mzXML Peak area,220610_Gifu_1_1_neg_BA8_2_9419.mzXML Peak area,220610_Gifu_1_2_neg_BB1_2_9431.mzXML Peak area,220610_Gifu_1_5_neg_BB4_1_9452.mzXML Peak area,220610_Gifu_3_3plus_neg_BA3_1_9458.mzXML Peak area,220610_Gifu_1_6plus_neg_BA2_2_9433.mzXML Peak area,220610_Gifu_1_6plus_neg_BA2_1_9432.mzXML Peak area,220610_Gifu_1_5_neg_BB4_2_9453.mzXML Peak area,220610_Gifu_2_2_neg_BB7_2_9449.mzXML Peak area,220610_Gifu_1_3_neg_BB2_1_9424.mzXML Peak area,220610_Gifu_2_2_neg_BB7_1_9448.mzXML Peak area,220610_Gifu_2_3_neg_BB8_2_9441.mzXML Peak area,220610_Gifu_3_3plus_neg_BA3_2_9459.mzXML Peak area,220610_Gifu_2_5_neg_BC2_2_9451.mzXML Peak area,220610_Gifu_2_6_neg_BC3_1_9500.mzXML Peak area,220610_Gifu_2_4_neg_BC1_1_9442.mzXML Peak area,220610_Gifu_2_3_neg_BB8_1_9440.mzXML Peak area,220610_Gifu_2_1_neg_BB6_2_9439.mzXML Peak area,220610_Gifu_2_4_neg_BC1_2_9443.mzXML Peak area,220610_Gifu_2_5_neg_BC2_1_9450.mzXML Peak area,220610_Gifu_2_1_neg_BB6_1_9438.mzXML Peak area,220610_Gifu_4_1_neg_BD2_2_9469.mzXML Peak area,220610_Gifu_4_1_neg_BD2_1_9468.mzXML Peak area,220610_Gifu_3_5_neg_BC8_1_9466.mzXML Peak area,220610_Gifu_3_1_neg_BC4_1_9494.mzXML Peak area,220610_Gifu_2_6_neg_BC3_2_9501.mzXML Peak area,220610_Gifu_3_1_neg_BC4_2_9495.mzXML Peak area,220610_Gifu_3_2_neg_BC5_1_9456.mzXML Peak area,220610_Gifu_3_4_neg_BC7_1_9462.mzXML Peak area,220610_Gifu_3_5_neg_BC8_2_9467.mzXML Peak area,220610_Gifu_4_3_neg_BD4_2_9479.mzXML Peak area,220610_Gifu_3_2_neg_BC5_2_9457.mzXML Peak area,220610_Gifu_4_3_neg_BD4_1_9478.mzXML Peak area,220610_Gifu_4_4_neg_BD5_2_9481.mzXML Peak area,220610_Gifu_3_4_neg_BC7_2_9463.mzXML Peak area,220610_Gifu_4_5_neg_BD6_1_9484.mzXML Peak area,220610_Gifu_4_4_neg_BD5_1_9480.mzXML Peak area,220610_Gifu_4_5_neg_BD6_2_9485.mzXML Peak area,220610_Gifu_4_2_neg_BD3_1_9473.mzXML Peak area,220610_Gifu_4_6_neg_BD7_2_9487.mzXML Peak area,220610_Gifu_4_2_neg_BD3_1_9472.mzXML Peak area,220610_Gifu_4_6_neg_BD7_1_9486.mzXML Peak area
3513,357.2850421,17.267086,0,23.495224,157.58727,0,63.595646,164.03596,425.65994,513.0191,4.409981,4.333496,6.142473,221.9484,645.6652,289.85693,3.2444,388.27948,86.87395,205.9223,5.4228973,4.6520233,5.4416656,601.0823,85.21617,1.8374023,18.470865,55.354782,0,2.0627441,5.9348907,4.75502,714.4158,984.0871,8.050507,15.828735,618.15375,413.34888,395.3736,593.8144,1069.3094,699.9519,126.64569,155.08554,154.1928,354.6441,746.6536,185.04239,767.9554,155.17427,0,85.38882,109.60428,42.97995,3.9856262,741.087,2.3345947,607.013,0,86.63274,426.01678,444.05115,228.8885,356.8166,271.33365,169.18733,452.4635,2.3860931,0,1164.3235,425.47388,527.24475,1063.9929,1099.9177,1250.5868,1243.0646,4.61084,816.37006,3.310791,323.7562,1323.4548,828.2747,133.95183,1024.8663,79.62465,956.2084,439.3628,519.8586
3514,277.1462669,17.301207,464.51547,709.5899,826.7357,571.4815,666.2422,800.7107,840.0098,822.8408,670.96136,655.933,943.001,719.1133,816.68286,711.14935,964.176,757.42004,891.8895,909.4029,668.0153,847.7523,688.44635,1002.9346,981.4986,861.58185,461.5801,551.3335,831.7892,867.08594,835.43335,851.98914,692.06415,702.3643,664.3663,698.12714,796.51624,863.0507,844.09955,999.7102,952.2169,852.78906,509.67407,638.99164,640.5935,623.27655,638.4089,597.6294,631.3593,621.8368,496.03506,635.7917,590.58154,655.5907,770.50385,623.4621,717.46497,716.57434,485.72552,736.41693,1323.4302,708.1857,669.5223,908.08154,704.83466,714.8593,949.49365,1165.4185,1250.0247,844.6648,792.1881,1287.767,1007.00024,1937.044,892.35065,847.61664,656.92596,1903.8379,668.54297,2060.0942,913.55164,643.9357,2158.8633,774.5069,813.1006,613.1139,831.1548,606.5798
3515,233.1562308,17.320349,47.644325,215.07109,374.68738,56.434555,168.3504,371.23257,67.83046,95.353226,305.75674,322.80707,248.57288,42.45819,47.141464,50.14064,310.49924,97.94621,88.16176,113.264206,89.57076,117.45798,37.208664,53.01361,109.17353,95.210594,34.96418,35.000317,185.58037,86.10448,173.62636,101.53054,99.546646,83.193504,101.95654,55.135662,98.84974,160.93977,26.815674,157.12355,56.915245,124.05122,18.493042,15.893997,98.721306,31.930185,36.944008,34.444965,16.179949,71.489075,20.262985,49.793804,34.206223,31.821692,54.58882,55.363045,45.517094,94.55956,27.239866,81.81781,92.61753,15.574585,138.34863,40.24524,86.57576,86.61066,42.07953,72.97673,153.96587,136.05807,63.074753,137.28896,68.38929,223.32057,174.16183,19.38578,389.93954,30.447144,369.42682,301.82007,167.93936,66.39964,339.81235,234.52846,349.26752,309.4571,321.61624,303.45065
3516,449.2770078,17.329437,0,0,0,0,0,2.064991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8374023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9240723,0,0,0,0,0,0,0,0,0,187.42628,0,191.96289,172.60582,0,115.56306,169.6644,636.79474,118.003716,117.055084,678.532,95.037,113.70858,111.498726,163.40982,1.9226074,0,188.52013,0,2.0971813,2.0798492,0,39.406853,0,100.281364,311.1593,1.802536,1.7674923,330.15454,0,584.7217,723.9713,591.7589,761.4234
3517,597.4138899,17.336334,0,0,1.8200684,0,0,0,156.26596,56.134903,0,0,0,64.40178,58.35016,66.6639,0,35.96024,1.7339725,1.7854004,0,0,0,22.141382,29.795916,0,0,0,0,0,0,0,109.81825,211.21164,0,0,107.999275,237.77957,112.65894,191.18753,138.9871,232.17828,38.635147,6.812256,35.54228,228.81744,287.43094,28.244556,328.37515,13.970455,0,2.3918266,1.8894043,9.368429,0,268.1137,0,140.54399,0,0,18.876709,49.496452,139.78998,55.45363,128.94794,3.8305836,151.16039,0,0,70.35981,5.199623,69.99162,5.720215,62.821705,28.565876,28.573708,0,24.161463,0,8.509762,36.54316,42.11236,25.438004,47.823715,18.159191,7.4449463,10.685457,6.621582
3518,294.2451052,17.369371,0,8.948349,18.501076,0,9.498474,11.412489,966.0653,960.50433,0,4.2699814,2.6774883,964.4154,488.831,1003.29346,0,651.9559,147.7082,86.4789,2.5131512,0,7.307434,850.3615,693.65686,0,2.045185,4.315687,2.6694336,0,2.231598,0,275.2588,552.8937,2.8601074,3.8481445,996.37915,505.4066,1159.6385,761.4866,679.4406,542.15186,816.4956,1253.0929,1268.7865,845.9005,366.7673,1064.8809,505.22134,871.2579,0,731.9952,644.9763,826.40045,2.1975098,673.10034,0,870.5417,0,168.8218,618.3888,1022.16986,892.03955,939.98315,1126.433,369.55508,1007.23413,1.9741058,1.7507324,57.301704,398.10516,750.91473,916.2909,676.015,401.8302,62.03513,0,619.7197,1.9411926,527.74994,553.8097,391.80365,564.60474,511.55908,1254.8334,372.3721,1252.4646,151.27063
3519,372.2763289,17.350592,0,5.494873,4.22287,1.9569397,11.305359,13.289358,1311.97,1321.6948,0,0,2.114746,1524.7828,1038.3843,1678.4752,0,604.4763,245.46233,112.98743,0,0,3.1547852,1326.7495,1372.4053,0,0,2.3277435,0,0,0,0,625.2534,377.83923,0,2.8251286,1565.4065,470.69604,1772.0388,1033.5338,970.82776,608.82904,1582.6744,1995.3744,2162.3044,1092.8296,737.7636,2037.119,763.17596,1288.827,0,1071.6498,1094.3676,1290.8878,1.750946,1027.9758,0,1335.6323,0,357.0723,862.4621,1746.2748,1269.675,1317.5933,1822.306,239.70981,1414.266,0,0,9.390642,707.77136,659.34534,973.8542,630.2263,511.1957,4.229492,0,426.6226,2.111435,799.6828,526.63776,339.9017,516.73425,325.7994,1693.8032,231.55379,1660.1533,87.475815
3520,309.2086729,17.35833,7.6265163,3.6401367,27.594784,10.286633,6.447838,9.291016,301.2052,315.7968,5.1135254,5.0268555,5.0268555,100.32503,114.28672,210.57326,9.697706,118.18544,9.784121,12.189835,3.9694824,18.845335,4.229492,35.682007,47.84327,15.235561,3.847721,15.191168,12.981552,7.990967,13.813904,21.320236,342.90887,366.61035,8.825668,3.397461,168.39929,287.12878,275.822,355.70584,365.19162,218.3515,63.029324,119.01314,76.84711,224.86523,92.71836,80.19607,156.05609,30.102245,2.8174877,16.95021,29.82975,14.057861,5.735588,308.26968,6.2729797,150.50687,2.6344757,13.049408,202.4117,105.589386,243.72021,61.55015,214.25935,13.555176,109.245605,5.355173,3.1891022,162.82031,425.0248,237.85892,57.052574,97.87965,333.0095,43.02018,6.769142,179.2221,23.053045,253.06807,235.36627,298.46118,294.41287,288.62482,404.0477,309.47928,272.05417,473.4677
3521,493.3032696,17.368547,0,0,0,0,0,0,0,0,0,0,0,0,0,1.837492,1.8027344,0,0,0,0,0,2.0800781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7678719,0,0,0,0,0,0,1.8374481,0,0,0,0,0,0,0,0,114.9205,0,29.338526,129.2692,0,99.63684,152.48447,504.80447,135.84364,75.56613,537.21985,62.388634,130.24805,120.39444,134.29083,0,0,133.58519,0,0,0,1.7854004,36.43426,0,17.770752,243.93735,0,0,266.66754,0,436.08823,572.216,451.53784,571.29913
3522,223.1456442,17.37448,0,0,0,0,0,2.047491,59.67025,74.7393,0,0,0,12.809383,44.747475,22.67957,0,22.364958,0,0,0,0,0,3.0677776,10.609833,0,0,0,0,0,0,0,51.36402,81.8602,0,0,9.204346,124.406364,24.073202,32.676796,77.42775,64.76076,17.543106,2.322754,5.962425,95.97912,178.05779,13.05188,253.89503,2.6074886,0,0,0,4.6350784,0,115.06231,0,31.007507,0,2.097412,62.77922,22.90686,52.743626,50.615353,18.750635,0,41.617546,0,0,19.342564,58.04815,74.8811,87.95864,53.48419,12.50647,23.036062,0,32.122253,0,9.316404,56.96833,2.4094238,7.725235,2.30542,29.945303,25.03903,15.756592,15.217915
