OTUid	Kingdom	K_identity	Phylum	P_identity	Class	C_identity	Order	O_identity	Family	F_identity	Genus	G_identity	Species	S_identity
Zotu1784	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Rhizobiales	0.99	Beijerinckiaceae	0.71	Bosea	0.71	Bosea_eneae	0.69
Zotu181	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Beijerinckiaceae	1	Bosea	1	Bosea_lathyri	0.88
Zotu259	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Beijerinckiaceae	1	Bosea	1	Bosea_eneae	0.99
Zotu347	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Rhizobiales	0.95	Beijerinckiaceae	0.89	Bosea	0.87	Bosea_lathyri	0.75
Zotu409	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Beijerinckiaceae	1	Bosea	1	Bosea_robiniae	0.98
Zotu526	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Rhizobiales	0.95	Beijerinckiaceae	0.91	Bosea	0.89	Bosea_eneae	0.88
Zotu544	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Rhizobiales	0.95	Beijerinckiaceae	0.89	Bosea	0.87	Bosea_lathyri	0.75
Zotu10511	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.84	Xanthobacteraceae	0.84	Bradyrhizobium	0.8	Bradyrhizobium_liaoningense	0.65
Zotu127	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Rhizobiales	0.82	Xanthobacteraceae	0.82	Bradyrhizobium	0.74	Bradyrhizobium_liaoningense	0.61
Zotu138	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.94	Xanthobacteraceae	0.94	Bradyrhizobium	0.93	Bradyrhizobium_erythrophlei	0.93
Zotu151	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Rhizobiales	0.91	Xanthobacteraceae	0.91	Bradyrhizobium	0.85	Bradyrhizobium_liaoningense	0.68
Zotu1839	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.89	Bradyrhizobium	0.41	AsCoM_s_11316	0.3
Zotu186	Bacteria	1	Proteobacteria	0.98	Alphaproteobacteria	0.98	Rhizobiales	0.91	Xanthobacteraceae	0.91	Bradyrhizobium	0.85	Bradyrhizobium_liaoningense	0.68
Zotu2038	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.9	Bradyrhizobium	0.86	Bradyrhizobium_erythrophlei	0.84
Zotu225	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.99	Xanthobacteraceae	0.99	Bradyrhizobium	0.98	Bradyrhizobium_erythrophlei	0.98
Zotu228	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Rhizobiales	0.88	Xanthobacteraceae	0.88	Bradyrhizobium	0.8	Bradyrhizobium_liaoningense	0.63
Zotu28	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	1	Bradyrhizobium_erythrophlei	1
Zotu287	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	0.59	Bradyrhizobium_liaoningense	0.39
Zotu325	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	1	Bradyrhizobium_erythrophlei	1
Zotu339	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	1	Bradyrhizobium_erythrophlei	1
Zotu384	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.72	Bradyrhizobium	0.72	Bradyrhizobium_erythrophlei	0.72
Zotu3889	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	0.78	Bradyrhizobium_erythrophlei	0.77
Zotu3897	Bacteria	1	Proteobacteria	0.98	Alphaproteobacteria	0.98	Rhizobiales	0.94	Xanthobacteraceae	0.47	Bradyrhizobium	0.26	Bradyrhizobium_erythrophlei	0.26
Zotu407	Bacteria	1	Proteobacteria	0.98	Alphaproteobacteria	0.98	Rhizobiales	0.97	Xanthobacteraceae	0.97	Bradyrhizobium	0.9	Bradyrhizobium_liaoningense	0.73
Zotu454	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Rhizobiales	0.91	Xanthobacteraceae	0.91	Bradyrhizobium	0.51	Bradyrhizobium_liaoningense	0.36
Zotu458	Bacteria	1	Proteobacteria	0.99	Alphaproteobacteria	0.99	Rhizobiales	0.81	Xanthobacteraceae	0.81	Bradyrhizobium	0.43	Bradyrhizobium_liaoningense	0.35
Zotu464	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	0.96	Bradyrhizobium_liaoningense	0.77
Zotu532	Bacteria	1	Proteobacteria	0.98	Alphaproteobacteria	0.98	Rhizobiales	0.91	Xanthobacteraceae	0.91	Bradyrhizobium	0.51	Bradyrhizobium_liaoningense	0.36
Zotu534	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	0.94	Bradyrhizobium_liaoningense	0.77
Zotu675	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.86	Bradyrhizobium	0.84	Bradyrhizobium_liaoningense	0.69
Zotu708	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	0.85	Bradyrhizobium	0.78	Bradyrhizobium_liaoningense	0.63
Zotu71	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	0.86	Xanthobacteraceae	0.86	Bradyrhizobium	0.85	Bradyrhizobium_erythrophlei	0.85
Zotu75	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	0.98	Bradyrhizobium_liaoningense	0.77
Zotu8538	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.97	Rhizobiales	0.97	Xanthobacteraceae	0.97	Bradyrhizobium	0.89	Bradyrhizobium_liaoningense	0.68
Zotu86	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Rhizobiales	0.95	Xanthobacteraceae	0.95	Bradyrhizobium	0.94	Bradyrhizobium_erythrophlei	0.94
Zotu9127	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.63	Rhizobiales	0.63	Xanthobacteraceae	0.49	Bradyrhizobium	0.35	Bradyrhizobium_liaoningense	0.33
Zotu92	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.99	Rhizobiales	0.96	Xanthobacteraceae	0.96	Bradyrhizobium	0.95	Bradyrhizobium_erythrophlei	0.95
Zotu9658	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Rhizobiales	1	Xanthobacteraceae	1	Bradyrhizobium	0.99	Bradyrhizobium_erythrophlei	0.9
Zotu9723	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	0.58	Rhizobiales	0.58	Xanthobacteraceae	0.58	Bradyrhizobium	0.58	unknown	unknown
Zotu373	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Micrococcales	1	Brevibacteriaceae	1	Brevibacterium	1	Brevibacterium_oceani	1
Zotu398	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Micrococcales	1	Brevibacteriaceae	1	Brevibacterium	1	Brevibacterium_oceani	0.9
Zotu496	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Micrococcales	1	Brevibacteriaceae	1	Brevibacterium	0.99	Brevibacterium_oceani	0.9
Zotu728	Bacteria	1	Actinobacteria	1	Actinobacteria	1	Micrococcales	1	Brevibacteriaceae	0.95	Brevibacterium	0.94	Brevibacterium_oceani	0.86
Zotu174	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Brevundimonas	1	Brevundimonas_basaltis	0.7
Zotu357	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Brevundimonas	0.98	Brevundimonas_subvibrioides	0.45
Zotu400	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Brevundimonas	1	Brevundimonas_alba	0.67
Zotu6336	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Brevundimonas	0.51	Brevundimonas_alba	0.49
Zotu7213	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.74	Caulobacteraceae	0.74	Brevundimonas	0.74	Brevundimonas_alba	0.71
Zotu415	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.88	Burkholderiales	0.88	Burkholderiaceae	0.43	Burkholderia	0.35	AsCoM_s_171	0.15
Zotu9295	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.71	Burkholderia	0.68	Burkholderia_ambifaria	0.52
Zotu1001	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.69	Burkholderia-Caballeronia-Paraburkholderia	0.69	Paraburkholderia_terricola	0.69
Zotu1007	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.52	Burkholderia-Caballeronia-Paraburkholderia	0.4	Paraburkholderia_terricola	0.39
Zotu1021	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.97	Burkholderiales	0.97	Burkholderiaceae	0.85	Burkholderia-Caballeronia-Paraburkholderia	0.85	Paraburkholderia_terricola	0.85
Zotu106	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.99	Burkholderiales	0.99	Burkholderiaceae	0.92	Burkholderia-Caballeronia-Paraburkholderia	0.92	Paraburkholderia_terricola	0.92
Zotu115	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	1	Burkholderia-Caballeronia-Paraburkholderia	1	Paraburkholderia_hospita	1
Zotu1201	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.87	Burkholderia-Caballeronia-Paraburkholderia	0.87	Paraburkholderia_terricola	0.87
Zotu122	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.55	Burkholderia-Caballeronia-Paraburkholderia	0.55	Paraburkholderia_terricola	0.52
Zotu1244	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.54	Burkholderia-Caballeronia-Paraburkholderia	0.3	Paraburkholderia_terricola	0.3
Zotu126	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.97	Burkholderia-Caballeronia-Paraburkholderia	0.96	Paraburkholderia_terricola	0.86
Zotu129	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.74	Burkholderia-Caballeronia-Paraburkholderia	0.39	Cupriavidus_campinensis	0.34
Zotu134	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	0.99	Burkholderiaceae	0.6	Burkholderia-Caballeronia-Paraburkholderia	0.31	Caballeronia_glathei	0.19
Zotu1448	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.81	Burkholderiales	0.81	Burkholderiaceae	0.58	Burkholderia-Caballeronia-Paraburkholderia	0.58	Paraburkholderia_terricola	0.58
Zotu1635	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.63	Burkholderia-Caballeronia-Paraburkholderia	0.63	Paraburkholderia_terricola	0.63
Zotu168	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.59	Burkholderia-Caballeronia-Paraburkholderia	0.59	Paraburkholderia_terricola	0.59
Zotu1859	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.45	Burkholderia-Caballeronia-Paraburkholderia	0.13	Paraburkholderia_terricola	0.13
Zotu189	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.73	Burkholderiales	0.73	Burkholderiaceae	0.7	Burkholderia-Caballeronia-Paraburkholderia	0.7	Paraburkholderia_terricola	0.7
Zotu1951	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.89	Burkholderiales	0.89	Burkholderiaceae	0.83	Burkholderia-Caballeronia-Paraburkholderia	0.83	Paraburkholderia_terricola	0.83
Zotu2	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	1	Burkholderia-Caballeronia-Paraburkholderia	1	Paraburkholderia_terricola	1
Zotu2016	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.98	Burkholderiales	0.98	Burkholderiaceae	0.86	Burkholderia-Caballeronia-Paraburkholderia	0.86	Paraburkholderia_terricola	0.86
Zotu223	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.61	Burkholderia-Caballeronia-Paraburkholderia	0.38	AsCoM_s_11883	0.23
Zotu2343	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.71	Burkholderia-Caballeronia-Paraburkholderia	0.71	Paraburkholderia_terricola	0.71
Zotu241	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.98	Burkholderiales	0.98	Burkholderiaceae	0.89	Burkholderia-Caballeronia-Paraburkholderia	0.89	Paraburkholderia_terricola	0.89
Zotu247	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.93	Burkholderiales	0.93	Burkholderiaceae	0.81	Burkholderia-Caballeronia-Paraburkholderia	0.81	Paraburkholderia_terricola	0.81
Zotu254	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.84	Burkholderiales	0.84	Burkholderiaceae	0.79	Burkholderia-Caballeronia-Paraburkholderia	0.79	Paraburkholderia_terricola	0.79
Zotu260	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.98	Burkholderia-Caballeronia-Paraburkholderia	0.98	Paraburkholderia_terricola	0.61
Zotu2600	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.38	Burkholderia-Caballeronia-Paraburkholderia	0.22	Cupriavidus_campinensis	0.16
Zotu27	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.53	Burkholderia-Caballeronia-Paraburkholderia	0.46	Paraburkholderia_terricola	0.44
Zotu274	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.49	Burkholderia-Caballeronia-Paraburkholderia	0.49	Paraburkholderia_terricola	0.49
Zotu286	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.87	Burkholderia-Caballeronia-Paraburkholderia	0.87	Caballeronia_terrestris	0.6
Zotu298	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.84	Burkholderiales	0.84	Burkholderiaceae	0.76	Burkholderia-Caballeronia-Paraburkholderia	0.76	Paraburkholderia_terricola	0.76
Zotu3116	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.78	Burkholderiales	0.78	Burkholderiaceae	0.7	Burkholderia-Caballeronia-Paraburkholderia	0.7	Paraburkholderia_caledonica	0.62
Zotu315	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.61	Burkholderia-Caballeronia-Paraburkholderia	0.61	Paraburkholderia_terricola	0.61
Zotu322	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.96	Burkholderia-Caballeronia-Paraburkholderia	0.96	Paraburkholderia_terricola	0.96
Zotu329	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.55	Burkholderia-Caballeronia-Paraburkholderia	0.55	Paraburkholderia_terricola	0.55
Zotu3335	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.88	Burkholderiales	0.88	Burkholderiaceae	0.8	Burkholderia-Caballeronia-Paraburkholderia	0.8	Paraburkholderia_terricola	0.8
Zotu3338	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.94	Burkholderiales	0.92	Burkholderiaceae	0.68	Burkholderia-Caballeronia-Paraburkholderia	0.68	Paraburkholderia_terricola	0.68
Zotu342	Bacteria	1	Proteobacteria	0.92	Gammaproteobacteria	0.85	Burkholderiales	0.75	Burkholderiaceae	0.23	Burkholderia-Caballeronia-Paraburkholderia	0.18	AsCoM_s_542	0.09
Zotu3469	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.83	Burkholderia-Caballeronia-Paraburkholderia	0.83	Paraburkholderia_terricola	0.83
Zotu349	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.68	Burkholderia-Caballeronia-Paraburkholderia	0.57	Caballeronia_glathei	0.42
Zotu3554	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.94	Burkholderia-Caballeronia-Paraburkholderia	0.93	Paraburkholderia_terricola	0.91
Zotu380	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.99	Burkholderia-Caballeronia-Paraburkholderia	0.99	Paraburkholderia_hospita	0.98
Zotu396	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.98	Burkholderia-Caballeronia-Paraburkholderia	0.98	Paraburkholderia_terricola	0.5
Zotu4122	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.67	Burkholderia-Caballeronia-Paraburkholderia	0.63	Paraburkholderia_terricola	0.44
Zotu420	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.86	Burkholderia-Caballeronia-Paraburkholderia	0.83	Caballeronia_glathei	0.47
Zotu4221	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.98	Burkholderiales	0.98	Burkholderiaceae	0.87	Burkholderia-Caballeronia-Paraburkholderia	0.87	Paraburkholderia_terricola	0.87
Zotu425	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.52	Burkholderia-Caballeronia-Paraburkholderia	0.31	Paraburkholderia_terricola	0.31
Zotu4281	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.97	Burkholderia-Caballeronia-Paraburkholderia	0.97	Paraburkholderia_terricola	0.96
Zotu4360	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.54	Burkholderia-Caballeronia-Paraburkholderia	0.35	Caballeronia_terrestris	0.23
Zotu438	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.96	Burkholderiales	0.96	Burkholderiaceae	0.92	Burkholderia-Caballeronia-Paraburkholderia	0.92	Paraburkholderia_terricola	0.92
Zotu444	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.82	Burkholderia-Caballeronia-Paraburkholderia	0.82	Paraburkholderia_terricola	0.76
Zotu455	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.66	Burkholderia-Caballeronia-Paraburkholderia	0.21	Paraburkholderia_terricola	0.2
Zotu543	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.47	Burkholderia-Caballeronia-Paraburkholderia	0.35	Paraburkholderia_terricola	0.35
Zotu557	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	1	Burkholderia-Caballeronia-Paraburkholderia	1	Paraburkholderia_hospita	0.87
Zotu573	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.6	Burkholderia-Caballeronia-Paraburkholderia	0.32	Caballeronia_glathei	0.2
Zotu597	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.52	Burkholderia-Caballeronia-Paraburkholderia	0.52	Paraburkholderia_hospita	0.52
Zotu604	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.61	Burkholderia-Caballeronia-Paraburkholderia	0.61	Paraburkholderia_terricola	0.61
Zotu61	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.98	Burkholderiales	0.98	Burkholderiaceae	0.91	Burkholderia-Caballeronia-Paraburkholderia	0.91	Paraburkholderia_terricola	0.91
Zotu622	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.49	Burkholderia-Caballeronia-Paraburkholderia	0.49	Paraburkholderia_terricola	0.49
Zotu6224	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.69	Burkholderiales	0.68	Burkholderiaceae	0.64	Burkholderia-Caballeronia-Paraburkholderia	0.64	Paraburkholderia_terricola	0.63
Zotu6271	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.79	Burkholderia-Caballeronia-Paraburkholderia	0.79	Paraburkholderia_hospita	0.79
Zotu643	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.87	Burkholderiales	0.87	Burkholderiaceae	0.61	Burkholderia-Caballeronia-Paraburkholderia	0.61	Paraburkholderia_terricola	0.61
Zotu671	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.47	Burkholderia-Caballeronia-Paraburkholderia	0.45	Paraburkholderia_hospita	0.45
Zotu6844	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.85	Burkholderia-Caballeronia-Paraburkholderia	0.85	Paraburkholderia_terricola	0.84
Zotu6875	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.74	Burkholderia-Caballeronia-Paraburkholderia	0.74	Paraburkholderia_terricola	0.74
Zotu69	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.55	Burkholderia-Caballeronia-Paraburkholderia	0.39	Paraburkholderia_terricola	0.37
Zotu714	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	1	Burkholderia-Caballeronia-Paraburkholderia	1	Paraburkholderia_terricola	0.88
Zotu72	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.96	Burkholderiales	0.96	Burkholderiaceae	0.89	Burkholderia-Caballeronia-Paraburkholderia	0.89	Paraburkholderia_terricola	0.89
Zotu7584	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.48	Burkholderia-Caballeronia-Paraburkholderia	0.22	Paraburkholderia_terricola	0.22
Zotu76	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.68	Burkholderiales	0.68	Burkholderiaceae	0.66	Burkholderia-Caballeronia-Paraburkholderia	0.66	Paraburkholderia_terricola	0.66
Zotu760	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.99	Burkholderia-Caballeronia-Paraburkholderia	0.99	Paraburkholderia_caledonica	0.9
Zotu767	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.61	Burkholderia-Caballeronia-Paraburkholderia	0.61	Paraburkholderia_terricola	0.6
Zotu80	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.49	Burkholderia-Caballeronia-Paraburkholderia	0.49	Paraburkholderia_terricola	0.46
Zotu809	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.94	Burkholderiales	0.94	Burkholderiaceae	0.82	Burkholderia-Caballeronia-Paraburkholderia	0.82	Paraburkholderia_hospita	0.81
Zotu840	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.97	Burkholderiales	0.97	Burkholderiaceae	0.93	Burkholderia-Caballeronia-Paraburkholderia	0.93	Paraburkholderia_terricola	0.93
Zotu9089	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.67	Burkholderiales	0.65	Burkholderiaceae	0.17	Burkholderia-Caballeronia-Paraburkholderia	0.17	Paraburkholderia_hospita	0.17
Zotu914	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.52	Burkholderia-Caballeronia-Paraburkholderia	0.33	Paraburkholderia_terricola	0.33
Zotu920	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.85	Burkholderia-Caballeronia-Paraburkholderia	0.85	Paraburkholderia_terricola	0.85
Zotu944	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Burkholderiaceae	0.55	Burkholderia-Caballeronia-Paraburkholderia	0.55	Paraburkholderia_hospita	0.54
Zotu950	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.9	Burkholderiales	0.9	Burkholderiaceae	0.86	Burkholderia-Caballeronia-Paraburkholderia	0.86	Paraburkholderia_terricola	0.86
Zotu440	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	AsCoM_o_1267	0.94	AsCoM_f_4827	0.94	Ca_Ovatusbacter	0.56	AsCoM_s_8267	0.39
Zotu350	Bacteria	0.99	Proteobacteria	0.99	Gammaproteobacteria	0.95	Burkholderiales	0.9	Burkholderiaceae	0.81	Caballeronia	0.32	unknown	unknown
Zotu472	Bacteria	0.95	Proteobacteria	0.94	Gammaproteobacteria	0.88	Burkholderiales	0.84	Burkholderiaceae	0.76	Caballeronia	0.29	unknown	unknown
Zotu7538	Bacteria	1	Proteobacteria	0.99	Gammaproteobacteria	0.7	Burkholderiales	0.69	Burkholderiaceae	0.68	Caballeronia	0.34	unknown	unknown
Zotu818	Bacteria	0.99	Proteobacteria	0.98	Gammaproteobacteria	0.95	Burkholderiales	0.92	Burkholderiaceae	0.87	Caballeronia	0.49	unknown	unknown
Zotu939	Bacteria	0.96	Proteobacteria	0.95	Gammaproteobacteria	0.92	Burkholderiales	0.89	Burkholderiaceae	0.81	Caballeronia	0.46	unknown	unknown
Zotu104	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Caulobacter	1	Caulobacter_henricii	1
Zotu1042	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	1	Caulobacteraceae	1	Caulobacter	0.93	Caulobacter_henricii	0.46
Zotu108	Bacteria	1	Proteobacteria	1	Alphaproteobacteria	1	Caulobacterales	0.93	Caulobacteraceae	0.93	Caulobacter	0.9	Caulobacter_henricii	0.87
