OTUid	Kingdom	K_identity	Phylum	P_identity	Class	C_identity	Order	O_identity	Family	F_identity	Genus	G_identity	Species	S_identity
Zotu10637	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	0.68	AsCoM_g_16	0.57	AsCoM_s_16	0.56
Zotu11025	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.91	Burkholderiales	0.91	Methylophilaceae	0.9	AsCoM_g_16	0.41	AsCoM_s_16	0.41
Zotu317	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	1	AsCoM_g_16	1	AsCoM_s_16	1
Zotu3949	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	0.93	AsCoM_g_16	0.59	AsCoM_s_16	0.53
Zotu4361	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	0.86	AsCoM_g_16	0.5	AsCoM_s_16	0.44
Zotu4467	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	0.66	AsCoM_g_16	0.39	AsCoM_s_16	0.3
Zotu5660	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	0.84	AsCoM_g_16	0.45	AsCoM_s_1590	0.39
Zotu5880	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.99	Burkholderiales	0.98	Methylophilaceae	0.98	AsCoM_g_16	0.5	AsCoM_s_1166	0.4
Zotu590	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	1	AsCoM_g_16	1	AsCoM_s_16	1
Zotu7526	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	0.99	Burkholderiales	0.95	Methylophilaceae	0.87	AsCoM_g_16	0.47	AsCoM_s_1166	0.36
Zotu9535	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Methylophilaceae	0.47	AsCoM_g_16	0.19	AsCoM_s_16	0.19
Zotu283	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Sphingobacteriales	1	Sphingobacteriaceae	0.8	AsCoM_g_1615	0.42	AsCoM_s_1615	0.33
Zotu553	Bacteria	1	Bacteroidota	1	Bacteroidia	1	Chitinophagales	1	Chitinophagaceae	1	AsCoM_g_162	0.37	AsCoM_s_403	0.36
Zotu4995	Bacteria	1	Proteobacteria	1	Gammaproteobacteria	1	Burkholderiales	1	Oxalobacteraceae	1	AsCoM_g_171	0.55	AsCoM_s_14502	0.4
